,PN2,PN,DN2,DN,D,K,L,n,Th,C,RF_d,RF_f1,f1,d,W,X,Y,Z,f2,f3,c_num,RJ_d,P,E,F,RJ_r,m_kg
80,1500,class_1500,40,"1 1/2""",180,123.8,30,4,M27,31.8,73.0,2,2,84,54,73,74.6,52.4,7,5,R20,92,68.27,6.35,8.74,0.8,6.36
81,1500,class_1500,50,"2""",215,165.1,26,8,M24,38.1,92.1,2,2,103,73,92.1,93.7,71.4,7,5,R24,124,95.25,7.92,11.91,0.8,11.35
82,1500,class_1500,65,"2 1/2""",245,190.5,30,8,M27,41.3,104.8,2,2,116,85.7,104.8,106.4,84.1,7,5,R27,137,107.95,7.92,11.91,0.8,15.89
83,1500,class_1500,80,"3""",265,203.2,33,8,M30,47.7,127.0,2,2,138,108,127,128.6,106.4,7,5,R35,168,136.53,7.92,11.91,0.8,21.79
84,1500,class_1500,100,"4""",310,241.3,36,8,M33,54.0,157.2,2,2,168,131.8,157.2,158.8,130.2,7,5,R39,194,161.93,7.92,11.91,0.8,33.14
85,1500,class_1500,125,"5""",375,292.1,42,8,M39*3,73.1,185.7,2,2,197,160.3,185.7,187.3,158.8,7,5,R44,229,193.68,7.92,11.91,0.8,64.47
86,1500,class_1500,150,"6""",395,317.5,39,12,M36*3,82.6,215.9,2,2,227,190.5,215.9,217.5,188.9,7,5,R46,248,211.14,9.53,13.49,1.5,72.19
87,1500,class_1500,200,"8""",485,393.7,45,12,M42*3,92.1,269.9,2,2,281,238.1,269.9,271.5,236.5,7,5,R50,318,269.88,11.13,16.66,1.5,137.11
88,1500,class_1500,250,"10""",585,482.6,51,12,M48*3,108.0,323.8,2,2,335,285.8,323.8,325.4,284.2,7,5,R54,371,323.85,11.13,16.66,1.5,230.18
89,1500,class_1500,300,"12""",675,571.5,55,16,M52*3,123.9,381.0,2,2,392,342.9,381,382.6,341.3,7,5,R58,438,381,14.27,23.01,1.5,351.85
90,1500,class_1500,350,"14""",750,635.0,60,16,M56*3,133.4,412.8,2,2,424,374.6,412.8,414.3,373.1,7,5,R63,489,419.1,15.88,26.97,2.4,422.7
91,1500,class_1500,400,"16""",825,704.8,68,16,M64*3,146.1,469.9,2,2,481,425.4,469.9,471.5,423.9,7,5,R67,546,469.9,17.48,30.18,2.4,557.2
92,1500,class_1500,450,"18""",915,774.7,74,16,M70*3,162.0,533.4,2,2,544,489,533.4,535,487.4,7,5,R71,613,533.4,17.48,30.18,2.4,760.6
93,1500,class_1500,500,"20""",985,831.8,80,16,M76*3,177.8,584.2,2,2,595,533.4,584.2,585.8,531.8,7,5,R75,673,584.2,17.48,33.32,2.4,966.6
94,1500,class_1500,600,"24""",1170,990.6,94,16,M90*3,203.2,692.2,2,2,703,641.4,692.2,693.7,639.8,7,5,R79,794,692.15,20.62,36.53,2.4,1560.0
95,2500,class_2500,15,"1/2""",135,88.9,22,4,M20,30.2,34.9,2,2,46,25.4,34.9,36.5,23.8,7,5,R13,65,42.88,6.35,8.74,0.8,13.18
96,2500,class_2500,20,"3/4""",140,95.2,22,4,M20,31.8,42.9,2,2,54,33.3,42.9,44.4,31.8,7,5,R16,73,50.8,6.35,8.74,0.8,4.54
97,2500,class_2500,25,"1""",160,108.0,26,4,M24,35.0,50.8,2,2,62,38.1,50.8,52.4,36.5,7,5,R18,82.5,60.33,6.35,8.74,0.8,5.45
98,2500,class_2500,32,"1 1/4""",185,130.2,30,4,M27,38.1,63.5,2,2,75,47.6,63.5,65.1,46,7,5,R21,102,72.23,7.92,11.91,0.8,8.17
99,2500,class_2500,40,"1 1/2""",205,146.0,33,4,M30,44.5,73.0,2,2,84,54,73,74.6,52.4,7,5,R23,114,82.55,7.92,11.91,0.8,11.35
100,2500,class_2500,50,"2""",235,171.4,30,8,M27,50.9,92.1,2,2,103,73,92.1,93.7,71.4,7,5,R26,133,101.6,7.92,11.91,0.8,17.71
101,2500,class_2500,65,"2 1/2""",265,196.8,33,8,M30,57.2,104.8,2,2,116,85.7,104.8,106.4,84.1,7,5,R28,149,111.13,9.52,13.49,1.5,25.42
102,2500,class_2500,80,"3""",305,228.6,36,8,M33,66.7,127.0,2,2,138,108,127,128.6,106.4,7,5,R32,168,127,9.53,13.49,1.5,39.04
103,2500,class_2500,100,"4""",355,273.0,42,8,M39*3,76.2,157.2,2,2,168,131.8,157.2,158.8,130.2,7,5,R38,203,157.18,11.13,16.66,1.5,60.38
104,2500,class_2500,125,"5""",420,323.8,48,8,M45*3,92.1,185.7,2,2,197,160.3,185.7,187.3,158.8,7,5,R42,241,190.5,12.7,19.84,1.5,101.24
105,2500,class_2500,150,"6""",485,368.3,55,8,M52*3,108.0,215.9,2,2,227,190.5,215.9,217.5,188.9,7,5,R47,279,228.6,12.7,19.84,1.5,156.63
106,2500,class_2500,200,"8""",550,438.2,55,12,M52*3,127.0,269.9,2,2,281,238.1,269.9,271.5,236.5,7,5,R51,340,279.4,14.27,23.01,1.5,241.98
107,2500,class_2500,250,"10""",675,539.8,68,12,M64*3,165.1,323.8,2,2,335,285.8,323.8,325.4,284.2,7,5,R55,425,342.9,17.48,30.18,2.4,465.35
108,2500,class_2500,300,"12""",760,619.1,74,12,M70*3,184.2,381.0,2,2,392,342.9,381,382.6,341.3,7,5,R60,495,406.4,17.48,33.32,2.4,644.66
