,PN,DN,A1_A,A1_B,D,K,L,n,Th,C,B1_A,B1_B,RF_d,RF_f1,d,f1,f2,f3,W,X,Y,Z,b,m_kg,LSR,LZR,LZJ
96,25,65,76.1,76,185,145,18,8,M16,22,77.5,78,122,2,122,2,4.5,4,95,109,110,94,6,3.5,-,95,-
97,25,80,88.9,89,200,160,18,8,M16,24,90.5,91,138,2,138,2,4.5,4,106,120,121,105,6,4.5,-,95,-
98,25,100,114.3,108,235,190,22,8,M20,26,116.0,110,162,2,162,2,5,4.5,129,149,150,128,6,6.0,-,110,-
99,25,125,139.7,133,270,220,26,8,M24,28,143.5,135,188,2,188,2,5,4.5,155,175,176,154,6,8.0,-,125,-
100,25,150,168.3,159,300,250,26,8,M24,30,170.5,161,218,2,218,2,5,4.5,183,203,204,182,6,10.5,-,130,-
101,25,200,219.1,219,360,310,26,12,M24,32,221.5,222,278,2,278,2,5,4.5,239,259,260,238,8,14.5,-,135,-
102,25,250,273.0,273,425,370,30,12,M27,35,276.5,276,335,2,335,2,5,4.5,292,312,313,291,10,20.0,-,145,-
103,25,300,323.9,325,485,430,30,16,M27,38,328.0,328,395,2,395,2,5,4.5,343,363,364,342,11,26.5,-,150,-
104,25,350,355.6,377,555,490,33,16,M30,42,360.0,381,450,2,450,2,5.5,5,395,421,422,394,12,42.0,-,165,-
105,25,400,406.4,426,620,550,36,16,M33,46,411.0,430,505,2,505,2,5.5,5,447,473,478,446,12,55.0,-,180,-
106,25,450,457.0,480,670,600,36,20,M33,50,462.0,485,555,2,555,2,5.5,5,497,523,524,496,12,64.5,-,190,-
107,25,500,508.0,530,730,660,36,20,M33,56,513.5,535,615,2,615,2,5.5,5,549,575,576,548,12,84.0,-,200,-
108,25,600,610.0,630,845,770,39,20,M36*3,68,616.5,636,720,2,720,2,5.5,5,649,675,676,648,12,127.5,-,230,-
109,40,10,17.2,14,90,60,14,4,M12,14,18.0,15,40,2,40,2,4.5,4,24,34,35,23,4,0.6,-,65,-
110,40,15,21.3,18,95,65,14,4,M12,14,22.5,19,45,2,45,2,4.5,4,29,39,40,28,4,0.5,-,65,-
111,40,20,26.9,25,105,75,14,4,M12,16,27.5,26,58,2,58,2,4.5,4,36,50,51,35,4,1.0,-,70,-
112,40,25,33.7,32,115,85,14,4,M12,16,34.5,33,68,2,68,2,4.5,4,43,57,58,42,5,1.0,-,70,-
113,40,32,42.4,38,140,100,18,4,M16,18,43.5,39,78,2,78,2,4.5,4,51,65,66,50,5,2.0,-,85,-
114,40,40,48.3,45,150,110,18,4,M16,18,49.5,46,88,2,88,2,4.5,4,61,75,76,60,5,2.0,-,85,-
115,40,50,60.3,57,165,125,18,4,M16,20,61.5,59,102,2,102,2,4.5,4,73,87,88,72,5,2.5,-,90,-
116,40,65,76.1,76,185,145,18,8,M16,22,77.5,78,122,2,122,2,4.5,4,95,109,110,94,6,3.5,-,95,-
117,40,80,88.9,89,200,160,18,8,M16,24,90.5,91,138,2,138,2,4.5,4,106,120,121,105,6,4.5,-,95,-
118,40,100,114.3,108,235,190,22,8,M20,26,116.0,110,162,2,162,2,5,4.5,129,149,150,128,6,6.0,-,110,-
119,40,125,139.7,133,270,220,26,8,M24,28,143.5,135,188,2,188,2,5,4.5,155,175,176,154,6,8.0,-,125,-
120,40,150,168.3,159,300,250,26,8,M24,30,170.5,161,218,2,218,2,5,4.5,183,203,204,182,6,10.5,-,130,-
121,40,200,219.1,219,375,320,30,12,M27,36,221.5,222,285,2,285,2,5,4.5,239,259,260,238,8,18.0,-,145,-
122,40,250,273.0,273,450,385,33,12,M30,42,276.5,276,345,2,345,2,5,4.5,292,312,313,291,10,29.5,-,165,-
123,40,300,323.9,325,515,450,33,16,M30,48,328.0,328,410,2,410,2,5,4.5,343,363,364,342,11,41.5,-,175,-
124,40,350,355.6,377,580,510,36,16,M33,54,360.0,381,465,2,465,2,5.5,5,395,421,422,394,12,62.0,-,200,-
125,40,400,406.4,426,660,585,39,16,M36*3,60,411.0,430,535,2,535,2,5.5,5,447,473,478,446,12,89.5,-,210,-
126,40,450,457.0,480,685,610,39,20,M36*3,66,462.0,485,560,2,560,2,5.5,5,497,523,524,496,12,91.5,-,225,-
127,40,500,508.0,530,755,670,42,20,M39*3,72,513.5,535,615,2,615,2,5.5,5,549,575,576,548,12,120.5,-,245,-
128,40,600,610.0,630,890,795,48,20,M45*3,84,616.5,636,735,2,735,2,5.5,5,649,675,676,648,12,189.5,-,290,-
