,PN,DN,A1_A,A1_B,D,K,L,n,Th,C,N_A,N_B,S_min,H1_mean,R,H,RF_d,d,RF_f1,f1,f2,f3,W,X,Y,Z,RJ_d,P,E,F,RJ_r,m_kg,LSR,LZR,LZJ
134,160,25,33.7,32,140,100,18,4,M16,24,52,52,2.9,8,4,58,68,68,2,2,4.5,4,43,57,58,42,80,50,6.5,9,0.8,3.0,-,95,110
135,160,32,42.4,38,155,110,22,4,M20,28,60,60,3.6,8,5,60,78,78,2,2,4.5,4,51,65,66,50,86,65,6.5,9,0.8,4.0,-,115,130
136,160,40,48.3,45,170,125,22,4,M20,28,70,70,3.6,10,6,64,88,88,2,2,4.5,4,61,75,76,60,102,75,6.5,9,0.8,4.5,-,115,130
137,160,50,60.3,57,195,145,26,4,M24,30,90,90,4.0,10,6,75,102,102,2,2,4.5,4,73,87,88,72,118,95,8,12,0.8,6.5,-,130,150
138,160,65,76.1,76,220,170,26,8,M24,34,108,108,5.0,12,6,82,122,122,2,2,4.5,4,95,109,110,94,142,110,8,12,0.8,9.5,-,135,155
139,160,80,88.9,89,230,180,26,8,M24,36,120,120,6.3,12,8,86,138,138,2,2,4.5,4,106,120,121,105,152,130,8,12,0.8,10.6,-,140,160
140,160,100,114.3,108,265,210,30,8,M27,40,150,150,8.0,12,8,100,162,162,2,2,5,4.5,129,149,150,128,178,160,8,12,0.8,15.6,-,155,175
141,160,125,139.7,133,315,250,33,8,M30,44,180,180,10.0,14,8,115,188,188,2,2,5,4.5,155,175,176,154,215,190,8,12,0.8,25.0,-,170,190
142,160,150,168.3,159,355,290,33,12,M30,50,210,210,12.5,14,10,128,218,218,2,2,5,4.5,183,203,204,182,255,205,10,14,0.8,35.5,-,180,205
143,160,200,219.1,219,430,360,36,12,M33,60,278,278,16.0,16,10,140,285,285,2,2,5,4.5,239,259,260,238,322,275,11,17,0.8,61.5,-,210,235
144,160,250,273.0,273,515,430,42,12,M39*3,68,340,340,20.0,18,12,155,345,345,2,2,5,4.5,292,312,313,291,388,330,11,17,0.8,98.5,-,240,265
145,160,300,323.9,325,585,500,42,16,M39*3,78,400,400,22.2,18,12,175,410,410,2,2,5,4.5,343,363,364,342,456,380,14,23,0.8,142.0,-,260,290
