,Class,PN,DN2,DN,A1_A,A1_B,D,K,L,Th,n,C,N_A,N_B,H,RF_d,RF_f1,f1,d,W,X,Y,Z,f2,f3,c_num,RJ_d,P,E,F,RJ_R,m_kg,LSR,LZR,LZM,LZJ
67,900,class_900,150,"6""",168.3,-,380,317.5,33,M30,12,55.6,235,-,305,215.9,2,2,227,190.5,215.9,217.5,188.9,7,5,R45,241,211.12,7.92,11.91,0.8,85.73,-,210,205,215
68,900,class_900,200,"8""",219.1,-,470,393.7,39,M36*3,12,63.5,298,-,305,269.9,2,2,281,238.1,269.9,271.5,236.5,7,5,R49,308,269.88,7.92,11.91,0.8,134.5,-,240,235,240
69,900,class_900,250,"10""",273.0,-,545,469.9,39,M36*3,16,69.9,368,-,305,323.8,2,2,335,285.8,323.8,325.4,284.2,7,5,R53,362,323.85,7.92,11.91,0.8,200.33,-,250,245,255
70,900,class_900,300,"12""",323.9,-,610,533.4,39,M36*3,20,79.4,419,-,305,381.0,2,2,392,342.9,381,382.6,341.3,7,5,R57,419,381,7.92,11.91,0.8,238.88,-,270,265,270
71,900,class_900,350,"14""",355.6,-,640,558.8,42,M39*3,20,85.8,451,-,305,412.8,2,2,424,374.6,412.8,414.3,373.1,7,5,R62,467,419.1,11.13,16.66,1.5,264.47,-,290,285,295
72,900,class_900,400,"16""",406.4,-,705,616.0,45,M42*3,20,88.9,508,-,305,469.9,2,2,481,425.4,469.9,471.5,423.9,7,5,R66,524,469.9,11.13,16.66,1.5,322.12,-,300,295,310
73,900,class_900,450,"18""",457.0,-,785,685.8,51,M48*3,20,101.6,565,-,305,533.4,2,2,544,489,533.4,535,487.4,7,5,R70,594,533.4,12.7,12.7,1.5,409.98,-,340,335,350
74,900,class_900,500,"20""",508.0,-,855,749.3,55,M52*3,20,108.0,622,-,305,584.2,2,2,595,533.4,584.2,585.8,531.8,7,5,R74,648,584.2,12.7,12.7,1.5,491.86,-,365,360,375
75,900,class_900,600,"24""",610.0,-,1040,901.7,68,M64*3,20,139.7,749,-,305,692.2,2,2,703,641.4,692.2,693.7,639.8,7,5,R78,772,692.15,15.88,15.88,2.4,802.8,-,450,445,470
76,1500,class_1500,15,"1/2""",21.3,-,120,82.6,22,M20,4,22.3,38,-,229,34.9,2,2,46,25.4,34.9,36.5,23.8,7,5,R12,60.5,39.67,6.35,8.74,0.8,3.23,-,120,115,120
77,1500,class_1500,20,"3/4""",26.9,-,130,88.9,22,M20,4,25.4,44,-,229,42.9,2,2,54,33.3,42.9,44.4,31.8,7,5,R14,66.5,44.45,6.35,8.74,0.8,4.18,-,125,120,125
78,1500,class_1500,25,"1""",33.7,-,150,101.6,26,M24,4,28.6,52,-,229,50.8,2,2,62,38.1,50.8,52.4,36.5,7,5,R16,71.5,50.8,6.35,8.74,0.8,5.84,-,140,135,140
79,1500,class_1500,32,"1 1/4""",42.4,-,160,111.1,26,M24,4,28.6,64,-,229,63.5,2,2,75,47.6,63.5,65.1,46,7,5,R18,81,60.33,6.35,8.74,0.8,7.44,-,140,135,140
80,1500,class_1500,40,"1 1/2""",48.3,-,180,123.8,30,M27,4,31.8,70,-,229,73.0,2,2,84,54,73,74.6,52.4,7,5,R20,92,68.27,6.35,8.74,0.8,9.32,-,155,150,155
81,1500,class_1500,50,"2""",60.3,-,215,165.1,26,M24,8,38.1,105,-,229,92.1,2,2,103,73,92.1,93.7,71.4,7,5,R24,124,95.25,7.92,11.91,0.8,18.87,-,160,155,160
82,1500,class_1500,65,"2 1/2""",76.1,-,245,190.5,30,M27,8,41.3,124,-,229,104.8,2,2,116,85.7,104.8,106.4,84.1,7,5,R27,137,107.95,7.92,11.91,0.8,25.21,-,175,170,175
83,1500,class_1500,80,"3""",88.9,-,265,203.2,33,M30,8,47.7,133,-,229,127.0,2,2,138,108,127,128.6,106.4,7,5,R35,168,136.53,7.92,11.91,0.8,29.61,-,195,190,195
84,1500,class_1500,100,"4""",114.3,-,310,241.3,36,M33,8,54.0,162,-,229,157.2,2,2,168,131.8,157.2,158.8,130.2,7,5,R39,194,161.93,7.92,11.91,0.8,42.64,-,215,210,215
85,1500,class_1500,125,"5""",139.7,-,375,292.1,42,M39*3,8,73.1,197,-,305,185.7,2,2,197,160.3,185.7,187.3,158.8,7,5,R44,229,193.68,7.92,11.91,0.8,82.4,-,265,260,265
86,1500,class_1500,150,"6""",168.3,-,395,317.5,39,M36*3,12,82.6,229,-,305,215.9,2,2,227,190.5,215.9,217.5,188.9,7,5,R46,248,211.14,9.53,13.49,1.5,97.78,-,275,270,280
87,1500,class_1500,200,"8""",219.1,-,485,393.7,45,M42*3,12,92.1,292,-,305,269.9,2,2,281,238.1,269.9,271.5,236.5,7,5,R50,318,269.88,11.13,16.66,1.5,154.49,-,310,305,315
88,1500,class_1500,250,"10""",273.0,-,585,482.6,51,M48*3,12,108.0,368,-,305,323.8,2,2,335,285.8,323.8,325.4,284.2,7,5,R54,371,323.85,11.13,16.66,1.5,249.29,-,350,345,360
89,1500,class_1500,300,"12""",323.9,-,675,571.5,55,M52*3,16,123.9,451,-,305,381.0,2,2,392,342.9,381,382.6,341.3,7,5,R58,438,381,14.27,23.01,1.5,364.74,-,390,385,405
90,1500,class_1500,350,"14""",355.6,-,750,635.0,60,M56*3,16,133.4,495,-,305,412.8,2,2,424,374.6,412.8,414.3,373.1,7,5,R63,489,419.1,15.88,26.97,2.4,464.68,-,420,415,435
91,1500,class_1500,400,"16""",406.4,-,825,704.8,68,M64*3,16,146.1,552,-,305,469.9,2,2,481,425.4,469.9,471.5,423.9,7,5,R67,546,469.9,17.48,30.18,2.4,571.3,-,460,455,480
92,1500,class_1500,450,"18""",457.0,-,915,774.7,74,M70*3,16,162.0,597,-,305,533.4,2,2,544,489,533.4,535,487.4,7,5,R71,613,533.4,17.48,30.18,2.4,717.05,-,505,500,525
93,1500,class_1500,500,"20""",508.0,-,985,831.8,80,M76*3,16,177.8,641,-,305,584.2,2,2,595,533.4,584.2,585.8,531.8,7,5,R75,673,584.2,17.48,33.32,2.4,846.57,-,550,545,575
94,1500,class_1500,600,"24""",610.0,-,1170,990.6,94,M90*3,16,203.2,762,-,305,692.2,2,2,703,641.4,692.2,693.7,639.8,7,5,R79,794,692.15,20.62,36.53,2.4,1278.12,-,630,625,660
95,2500,class_2500,15,"1/2""",21.3,-,135,88.9,22,M20,4,30.2,43,-,229,34.9,2,2,46,25.4,34.9,36.5,23.8,7,5,R13,65,42.88,6.35,8.74,0.8,4.97,-,135,130,135
96,2500,class_2500,20,"3/4""",26.9,-,140,95.2,22,M20,4,31.8,51,-,229,42.9,2,2,54,33.3,42.9,44.4,31.8,7,5,R16,73,50.8,6.35,8.74,0.8,6.02,-,135,130,135
97,2500,class_2500,25,"1""",33.7,-,160,108.0,26,M24,4,35.0,57,-,229,50.8,2,2,62,38.1,50.8,52.4,36.5,7,5,R18,82.5,60.33,6.35,8.74,0.8,7.82,-,155,150,155
98,2500,class_2500,32,"1 1/4""",42.4,-,185,130.2,30,M27,4,38.1,73,-,229,63.5,2,2,75,47.6,63.5,65.1,46,7,5,R21,102,72.23,7.92,11.91,0.8,11.78,-,170,165,170
99,2500,class_2500,40,"1 1/2""",48.3,-,205,146.0,33,M30,4,44.5,79,-,229,73.0,2,2,84,54,73,74.6,52.4,7,5,R23,114,82.55,7.92,11.91,0.8,15.11,-,190,185,190
100,2500,class_2500,50,"2""",60.3,-,235,171.4,30,M27,8,50.9,95,-,229,92.1,2,2,103,73,92.1,93.7,71.4,7,5,R26,133,101.6,7.92,11.91,0.8,21.27,-,195,190,195
101,2500,class_2500,65,"2 1/2""",76.1,-,265,196.8,33,M30,8,57.2,114,-,229,104.8,2,2,116,85.7,104.8,106.4,84.1,7,5,R28,149,111.13,9.52,13.49,1.5,29.39,-,215,210,220
102,2500,class_2500,80,"3""",88.9,-,305,228.6,36,M33,8,66.7,133,-,229,127.0,2,2,138,108,127,128.6,106.4,7,5,R32,168,127,9.53,13.49,1.5,43.35,-,240,235,245
103,2500,class_2500,100,"4""",114.3,-,355,273.0,42,M39*3,8,76.2,165,-,229,157.2,2,2,168,131.8,157.2,158.8,130.2,7,5,R38,203,157.18,11.13,16.66,1.5,63.86,-,270,265,280
104,2500,class_2500,125,"5""",139.7,-,420,323.8,48,M45*3,8,92.1,203,-,305,185.7,2,2,197,160.3,185.7,187.3,158.8,7,5,R42,241,190.5,12.7,19.84,1.5,113.47,-,315,310,325
105,2500,class_2500,150,"6""",168.3,-,485,368.3,55,M52*3,8,108.0,235,-,305,215.9,2,2,227,190.5,215.9,217.5,188.9,7,5,R47,279,228.6,12.7,19.84,1.5,162.85,-,360,355,370
106,2500,class_2500,200,"8""",219.1,-,550,438.2,55,M52*3,12,127.0,305,-,305,269.9,2,2,281,238.1,269.9,271.5,236.5,7,5,R51,340,279.4,14.27,23.01,1.5,232.79,-,400,395,415
107,2500,class_2500,250,"10""",273.0,-,675,539.8,68,M64*3,12,165.1,375,-,305,323.8,2,2,335,285.8,323.8,325.4,284.2,7,5,R55,425,342.9,17.48,30.18,2.4,405.23,-,500,495,520
108,2500,class_2500,300,"12""",323.9,-,760,619.1,74,M70*3,12,184.2,441,-,305,381.0,2,2,392,342.9,381,382.6,341.3,7,5,R60,495,406.4,17.48,33.32,2.4,551.44,-,550,545,570
